2023-07-31 21:50:23,229 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '39', 'network_area': 'B8G07_39U', 'device_type': 'NTS'}
2023-07-31 21:50:25,302 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '37', 'network_area': 'B8G07_37U', 'device_type': 'NTS'}
2023-07-31 21:50:27,155 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '26', 'network_area': 'B8G15_26U', 'device_type': 'NTS'}
2023-07-31 21:50:29,549 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '35', 'network_area': 'B8G12_35U', 'device_type': 'NTS'}
2023-07-31 21:50:31,883 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '35', 'network_area': 'B8G13_35U', 'device_type': 'NTS'}
2023-07-31 21:54:11,563 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '39', 'network_area': 'B8G07_39U', 'device_type': 'NTS'}
2023-07-31 21:54:13,649 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '37', 'network_area': 'B8G07_37U', 'device_type': 'NTS'}
2023-07-31 21:54:15,696 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '26', 'network_area': 'B8G15_26U', 'device_type': 'NTS'}
2023-07-31 21:54:18,004 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '35', 'network_area': 'B8G12_35U', 'device_type': 'NTS'}
2023-07-31 21:54:20,211 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '35', 'network_area': 'B8G13_35U', 'device_type': 'NTS'}
2023-07-31 21:55:03,819 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '39', 'network_area': 'B8G07_39U', 'device_type': 'NTS'}
2023-07-31 21:55:05,939 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '37', 'network_area': 'B8G07_37U', 'device_type': 'NTS'}
2023-07-31 21:55:08,005 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '26', 'network_area': 'B8G15_26U', 'device_type': 'NTS'}
2023-07-31 21:55:10,462 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '35', 'network_area': 'B8G12_35U', 'device_type': 'NTS'}
2023-07-31 21:55:12,815 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '35', 'network_area': 'B8G13_35U', 'device_type': 'NTS'}
2023-07-31 21:55:55,838 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '39', 'network_area': 'B8G07_39U', 'device_type': 'NTS'}
2023-07-31 21:55:57,948 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '37', 'network_area': 'B8G07_37U', 'device_type': 'NTS'}
2023-07-31 21:55:59,878 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '26', 'network_area': 'B8G15_26U', 'device_type': 'NTS'}
2023-07-31 21:56:01,897 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '35', 'network_area': 'B8G12_35U', 'device_type': 'NTS'}
2023-07-31 21:56:04,020 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '35', 'network_area': 'B8G13_35U', 'device_type': 'NTS'}
2023-07-31 21:56:23,569 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '39', 'network_area': 'B8G07_39U', 'device_type': 'NTS'}
2023-07-31 21:56:25,779 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '37', 'network_area': 'B8G07_37U', 'device_type': 'NTS'}
2023-07-31 21:56:27,692 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '26', 'network_area': 'B8G15_26U', 'device_type': 'NTS'}
2023-07-31 21:56:30,199 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '35', 'network_area': 'B8G12_35U', 'device_type': 'NTS'}
2023-07-31 21:56:32,431 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '35', 'network_area': 'B8G13_35U', 'device_type': 'NTS'}
2023-07-31 21:57:05,498 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '39', 'network_area': 'B8G07_39U', 'device_type': 'NTS'}
2023-07-31 21:57:07,596 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '37', 'network_area': 'B8G07_37U', 'device_type': 'NTS'}
2023-07-31 21:57:09,724 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '26', 'network_area': 'B8G15_26U', 'device_type': 'NTS'}
2023-07-31 21:57:11,974 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '35', 'network_area': 'B8G12_35U', 'device_type': 'NTS'}
2023-07-31 21:57:14,252 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '35', 'network_area': 'B8G13_35U', 'device_type': 'NTS'}
