2023-07-31 22:06:17,973 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '39', 'network_area': 'B8G07_39U', 'device_type': ''}
2023-07-31 22:06:19,990 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '37', 'network_area': 'B8G07_37U', 'device_type': ''}
2023-07-31 22:06:21,911 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '26', 'network_area': 'B8G15_26U', 'device_type': ''}
2023-07-31 22:06:24,207 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '35', 'network_area': 'B8G12_35U', 'device_type': ''}
2023-07-31 22:06:26,378 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '35', 'network_area': 'B8G13_35U', 'device_type': ''}
2023-07-31 22:09:08,933 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '39', 'network_area': 'NTS', 'device_type': '交换机'}
2023-07-31 22:09:10,836 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '37', 'network_area': 'NTS', 'device_type': '交换机'}
2023-07-31 22:09:12,608 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '26', 'network_area': 'NTS', 'device_type': '交换机'}
2023-07-31 22:09:15,016 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '35', 'network_area': 'NTS', 'device_type': '交换机'}
2023-07-31 22:09:17,325 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '35', 'network_area': 'NTS', 'device_type': '交换机'}
2023-07-31 22:24:05,835 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '39', 'network_area': '测试环境', 'device_type': '交换机'}
2023-07-31 22:24:07,859 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '37', 'network_area': '测试环境', 'device_type': '交换机'}
2023-07-31 22:24:09,677 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '26', 'network_area': '测试环境', 'device_type': '交换机'}
2023-07-31 22:24:11,779 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '35', 'network_area': '测试环境', 'device_type': '交换机'}
2023-07-31 22:24:14,023 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': '', 'start_u': '35', 'network_area': '测试环境', 'device_type': '交换机'}
2023-07-31 22:31:01,833 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': 'G07', 'start_u': '39U', 'network_area': '', 'device_type': ''}
2023-07-31 22:31:03,987 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': 'G07', 'start_u': '37U', 'network_area': '', 'device_type': ''}
2023-07-31 22:31:05,723 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': 'G15', 'start_u': '26U', 'network_area': '', 'device_type': ''}
2023-07-31 22:31:07,975 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': 'G12', 'start_u': '35U', 'network_area': '', 'device_type': ''}
2023-07-31 22:31:10,248 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': 'G13', 'start_u': '35U', 'network_area': '', 'device_type': ''}
2023-07-31 22:35:13,245 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': 'G07', 'start_u': '39U', 'network_area': '', 'device_type': ''}
2023-07-31 22:35:15,280 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': 'G07', 'start_u': '37U', 'network_area': '', 'device_type': ''}
2023-07-31 22:35:17,307 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': 'G15', 'start_u': '26U', 'network_area': '', 'device_type': ''}
2023-07-31 22:35:19,695 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': 'G12', 'start_u': '35U', 'network_area': '', 'device_type': ''}
2023-07-31 22:35:21,802 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': 'G13', 'start_u': '35U', 'network_area': '', 'device_type': ''}
2023-07-31 22:36:25,293 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': 'G07', 'start_u': '39U', 'network_area': '', 'device_type': ''}
2023-07-31 22:36:27,307 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': 'G07', 'start_u': '37U', 'network_area': '', 'device_type': ''}
2023-07-31 22:36:29,161 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': 'G15', 'start_u': '26U', 'network_area': '', 'device_type': ''}
2023-07-31 22:36:31,223 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': 'G12', 'start_u': '35U', 'network_area': '', 'device_type': ''}
2023-07-31 22:36:33,512 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': 'G13', 'start_u': '35U', 'network_area': '', 'device_type': ''}
2023-07-31 22:41:25,320 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': 'G07', 'start_u': '39U', 'network_area': '测试环境', 'device_type': '交换机'}
2023-07-31 22:41:27,412 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': 'G07', 'start_u': '37U', 'network_area': '测试环境', 'device_type': '交换机'}
2023-07-31 22:41:29,269 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': 'G15', 'start_u': '26U', 'network_area': '测试环境', 'device_type': '交换机'}
2023-07-31 22:41:31,623 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': 'G12', 'start_u': '35U', 'network_area': '测试环境', 'device_type': '交换机'}
2023-07-31 22:41:33,976 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': 'G13', 'start_u': '35U', 'network_area': '测试环境', 'device_type': '交换机'}
2023-07-31 22:50:31,581 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': 'G07', 'start_u': '39U', 'network_area': '测试环境', 'device_type': '交换机'}
2023-07-31 22:50:31,592 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': 'G07', 'start_u': '39U', 'network_area': '测试环境', 'device_type': '交换机'}
2023-07-31 22:50:33,599 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': 'G07', 'start_u': '37U', 'network_area': '测试环境', 'device_type': '交换机'}
2023-07-31 22:50:33,610 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': 'G07', 'start_u': '37U', 'network_area': '测试环境', 'device_type': '交换机'}
2023-07-31 22:50:35,369 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': 'G15', 'start_u': '26U', 'network_area': '测试环境', 'device_type': '交换机'}
2023-07-31 22:50:35,380 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': 'G15', 'start_u': '26U', 'network_area': '测试环境', 'device_type': '交换机'}
2023-07-31 22:50:37,415 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': 'G12', 'start_u': '35U', 'network_area': '测试环境', 'device_type': '交换机'}
2023-07-31 22:50:37,427 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': 'G12', 'start_u': '35U', 'network_area': '测试环境', 'device_type': '交换机'}
2023-07-31 22:50:39,627 - INFO - {'data_center': '亦庄', 'block': '8', 'cabinet': 'G13', 'start_u': '35U', 'network_area': '测试环境', 'device_type': '交换机'}
